chirp_mass mass_ratio distance phi ra dec
98.589874 0.22708762 1895.0972 3.4416714 3.4416714 0.600428
85.40611 0.29316843 2833.3079 3.8713589 3.8713589 0.96688175
89.064575 0.21954769 977.54926 0.6760464 0.6760464 -1.220482
97.77749 0.25822335 2076.9543 0.16823387 0.16823387 -1.1608206
85.750656 0.25706792 1340.8984 3.2151089 3.2151089 0.49031636
88.39181 0.14754686 1498.171 0.13698387 0.13698387 -1.1741942
90.90509 0.33535746 2257.2563 3.7932339 3.7932339 0.90447694
92.748474 0.18851507 1947.1304 6.131107 6.131107 -0.8276158
76.13051 0.27364394 1904.2239 6.103763 6.103763 -0.7710906
95.19436 0.23691493 2178.1345 1.0393276 1.0393276 -1.2108611
92.90143 0.33723518 1427.006 6.177982 6.177982 -0.90045804
88.92 0.31760204 2116.439 3.8791714 3.8791714 0.9621939
73.1248 0.13667274 1904.2732 0.05104637 0.05104637 -1.1392184
82.33306 0.349837 1734.9814 3.3947964 3.3947964 0.5106158
97.38634 0.1704933 1996.8063 3.8479214 3.8479214 0.896786
98.87589 0.33206886 1469.7784 5.7834506 5.7834506 -0.45985886
85.99511 0.2663519 2103.2937 3.3283901 3.3283901 0.62773216
84.82043 0.2720567 2090.9373 5.974857 5.974857 -0.62690914
94.85561 0.32309043 2103.5708 3.5393276 3.5393276 0.66316354
97.60598 0.27886438 1528.5138 0.44948387 0.44948387 -1.11647
75.202385 0.25665778 1798.6077 3.8830776 3.8830776 1.0223085
85.52324 0.33268845 2293.3103 3.8401089 3.8401089 0.92483485
79.86119 0.30739483 1839.5221 4.4104214 4.4104214 0.81118417
96.654144 0.35675257 2733.8188 0.23073387 0.23073387 -1.0771409
66.61803 0.12828109 1304.3457 3.7112026 3.7112026 0.76643515
96.635864 0.20219389 1982.1963 0.06276512 0.06276512 -1.1885986
59.390182 0.18097398 1246.1096 4.3674526 4.3674526 0.75238895
94.317184 0.1702551 2314.333 5.8420444 5.8420444 -0.47506008
78.05702 0.26942462 2000.1718 3.8166714 3.8166714 0.9282539
90.6682 0.3171835 2542.614 3.2112026 3.2112026 0.4367808
85.7775 0.21377441 2529.513 3.9533901 3.9533901 0.9186147
99.4252 0.23503533 2279.487 0.24245262 0.24245262 -1.194444
92.20912 0.16223422 1472.6241 0.22682762 0.22682762 -1.1546763
73.77666 0.27442348 2384.7974 3.2424526 3.2424526 0.33659914
84.60432 0.2277799 1683.0605 4.39089 4.39089 0.7354973
94.156525 0.20673218 2221.5825 0.11354637 0.11354637 -1.0969768
88.65894 0.16609308 1640.5402 6.244388 6.244388 -1.171176
83.89223 0.17299059 1169.6177 4.375265 4.375265 0.83020264
84.52376 0.25488812 2501.641 3.8947964 3.8947964 0.8923452
91.7669 0.38857818 1964.0057 4.4104214 4.4104214 0.7468427
96.5941 0.17937383 2051.9424 6.228763 6.228763 -0.9144364
90.14148 0.16950044 1558.3025 6.103763 6.103763 -0.7498412
85.29796 0.3060234 1977.7368 6.037357 6.037357 -0.8939299
97.586365 0.3429731 2274.1538 4.3166714 4.3166714 0.7937149
79.49013 0.2525324 1720.7905 0.10182762 0.10182762 -1.2085043
45.207466 0.1328898 1506.6788 3.4377651 3.4377651 0.5620978
64.26887 0.1333513 1312.4006 0.019796371 0.019796371 -1.1531985
51.820496 0.18943548 856.774 3.3127651 3.3127651 0.54630905
71.665535 0.25298184 1668.3226 3.7776089 3.7776089 0.96932703
86.613235 0.16134915 1496.5205 3.3166714 3.3166714 0.38252968
90.424255 0.16727 1886.2278 3.9416714 3.9416714 0.9638257
97.00421 0.52098024 1741.005 3.3518276 3.3518276 0.5238612
84.10976 0.20478147 1764.8671 3.9260464 3.9260464 1.0006881
89.95219 0.32479078 1967.874 4.433859 4.433859 0.73149645
95.72433 0.1705896 2402.2507 3.8479214 3.8479214 0.86166024
74.16492 0.15513006 1116.4858 6.0764194 6.0764194 -0.8488562
93.380844 0.14849389 1960.8575 4.3479214 4.3479214 0.75345427
87.74164 0.33206218 1304.8438 6.056888 6.056888 -0.58530784
99.67789 0.2509368 1789.9429 3.8674526 3.8674526 1.0042658
99.96788 0.19578895 2015.4512 3.8596401 3.8596401 0.77311903
93.22013 0.3698847 2322.0195 3.2268276 3.2268276 0.5178357
90.65039 0.3776348 2120.2124 3.5979214 3.5979214 0.70798475
87.01809 0.36669958 1803.1959 3.2580776 3.2580776 0.45754004
73.40874 0.27357933 1679.3 3.4260464 3.4260464 0.6614029
68.33476 0.16308841 1115.7532 6.2639194 6.2639194 -1.0076083
91.74075 0.19995376 3091.1482 6.150638 6.150638 -1.0747918
92.42853 0.17432806 2990.2424 3.8987026 3.8987026 0.95302147
89.39271 0.341788 2203.0486 3.4299526 3.4299526 0.5852716
74.161575 0.21297601 1961.845 3.9143276 3.9143276 0.8791906
87.013176 0.2713685 2933.0903 3.9260464 3.9260464 0.8949076
95.09728 0.44299716 2247.769 3.8674526 3.8674526 0.86808276
